In/H1,H1/H2,H2/Out,Graph
0.35243213,0.8564854,,
0.03707418,0.3345361,,
-0.4507873,0.5545006,,
-0.7584276,0.07770145,,
0.9037125,0.99825895,,
-0.96045077,-0.6295433,,
-0.7907498,0.36966348,,
0.79484665,-0.8942363,,
-0.3478993,0.93954563,,
0.79990435,-0.8071656,,
0.73582125,-0.4788109,,
-0.07050216,-0.26617956,,
-0.8195183,-0.14797759,,
-0.10936898,-0.5753361,,
-0.6871704,0.52495205,,
-0.2941867,-0.38144684,,
0.31723952,-0.67730874,,
-0.4399443,-0.62096024,,
0.89822984,0.524055,,
1.0,0.55230194,,
-0.34702992,-0.931614,,
-0.1538831,-0.48777974,,
0.21897244,0.30794466,,
0.68163836,-1.0,,
0.13257861,0.0060390234,,
-0.52395797,0.3350483,,
-0.052352905,-0.40899897,,
0.0663923,0.8373243,,
-0.47627127,0.5316107,,
0.99236834,0.34520054,,
-0.44681776,0.8475411,,
-0.80299616,-0.8052512,,
-0.14778417,0.44824302,,
-0.06277478,0.9152998,,
0.30353618,0.8952491,,
0.15306008,-0.94033337,,
-0.03170999,-0.8401797,,
-0.6558362,-0.8299978,,
-0.036219448,-0.1931181,,
0.95896864,0.17431998,,
-0.563404,-0.8685863,,
0.48968437,0.0994277,,
-7.6615065E-4,0.9320601,,
-0.8682208,0.49003077,,
0.6757976,1.0,,
0.9885372,-0.9144578,,
1.0,-0.5547313,,
0.38507295,0.30796254,,
-0.22203767,-0.41729736,,
-0.78996944,0.60142124,,
-0.038313508,0.28208497,,
-0.14609885,0.17156935,,
-0.6667701,0.5149547,,
-0.45056617,-0.29306972,,
0.40170038,-0.8681096,,
-1.0,-0.8338849,,
